model,window,RMSE,R2,IC,CS-IC
xgboost,12,0.05967788853022614,-0.14866859116460107,-0.0073490727693045765,0.025806529811459013
xgboost,24,0.059320808416501385,-0.08739262713358142,0.006629281800440197,0.05002821369039759
xgboost,36,0.061433394976824166,-0.0590248887793976,-0.01873031412993318,0.0380111771756559
random_forest,12,0.05886343044640704,-0.11752947070096909,-0.07585319279422753,-0.0088365953894688
random_forest,24,0.058596691629777986,-0.06100750304711844,-0.09898480551981856,0.010935641621169355
random_forest,36,0.060683389912615855,-0.033324677612572406,-0.08299863679011961,0.037990936150433925
lasso,12,0.05886158787235499,-0.1174595088057313,-0.018862334681406735,0.033704910535642826
lasso,24,0.05854217620653188,-0.059034205061241574,-0.0209582051697268,0.05301187141523275
lasso,36,0.06086056911255863,-0.0393675475791897,-0.017632813503296145,0.06057783113245297
lstm,12,0.05916773931682691,-0.12911402078290557,-0.05247006124917632,0.016608929286000117
lstm,24,0.05856661731119214,-0.05991867402854134,-0.01591451227534798,0.048866213151927435
lstm,36,0.06145611623636717,-0.05980839843658736,-0.0586836275169677,0.0667515006002401
